gene_id	gene_name	gene_type	chrom	start	end	strand	clip_count	rpf_siLuc	rpf_siLin28a	rna_siLuc	rna_siLin28a
ENSMUSG00000068748.8	Ptprz1	protein_coding	chr6	22875501	23052915	+	88	108	405	27	78
ENSMUSG00000068749.10	Psma5	protein_coding	chr3	108164242	108187290	+	510	389	234	461	511
ENSMUSG00000068758.9	Il3ra	protein_coding	chr14	8113752	8123488	-	22	43	66	84	92
ENSMUSG00000068762.12	Gstm6	protein_coding	chr3	107846163	107851065	-	9	17	30	15	46
ENSMUSG00000068798.11	Rap1a	protein_coding	chr3	105634583	105708652	-	485	156	96	354	281
ENSMUSG00000068816.4	Olfr152	protein_coding	chr2	87609827	87614916	+	0	0	0	6	6
ENSMUSG00000068823.11	Csde1	protein_coding	chr3	102927742	102965502	+	6784	1618	741	4895	5423
ENSMUSG00000068854.8	H2bc21	protein_coding	chr3	96128435	96131054	+	30	10	8	11	6
ENSMUSG00000068855.4	H2ac20	protein_coding	chr3	96127677	96128196	-	304	1111	652	0	0
ENSMUSG00000068856.4	Sf3b4	protein_coding	chr3	96079648	96084880	+	136	339	230	323	448
ENSMUSG00000068860.6	Gm128	protein_coding	chr3	95144231	95148909	-	5	28	49	22	40
ENSMUSG00000068874.14	Selenbp1	protein_coding	chr3	94840367	94852069	+	6	10	9	10	12
ENSMUSG00000068876.17	Cgn	protein_coding	chr3	94667376	94693826	-	1253	77	39	619	631
ENSMUSG00000068882.14	Ssb	protein_coding	chr2	69691906	69702190	+	1841	2315	738	1924	1545
ENSMUSG00000068917.13	Clk2	protein_coding	chr3	89072102	89084228	+	362	239	112	791	914
ENSMUSG00000068921.15	Dap3	protein_coding	chr3	88828110	88858488	-	740	2122	1655	1268	1816
ENSMUSG00000068922.15	Msto1	protein_coding	chr3	88812414	88821306	-	314	796	433	1331	1821
ENSMUSG00000068923.15	Syt11	protein_coding	chr3	88652007	88682471	-	365	76	67	107	137
ENSMUSG00000068947.3	Olfr366	protein_coding	chr2	37101586	37114518	+	0	0	1	6	3
ENSMUSG00000068950.4	Olfr338	protein_coding	chr2	36263531	36272445	+	45	0	1	17	16
ENSMUSG00000068959.7	Zfp619	protein_coding	chr7	39167190	39189844	+	59	17	17	65	61
ENSMUSG00000068962.8	Zfp114	protein_coding	chr7	23874485	23882613	+	21	18	4	25	44
ENSMUSG00000068966.11	Zbtb34	protein_coding	chr2	33296120	33321336	-	567	135	154	417	745
ENSMUSG00000068969.4	Rpl32-ps	processed_pseudogene	chr3	69624319	69624726	-	28	4	4	6	15
ENSMUSG00000069008.4	Gm5537	processed_pseudogene	chr3	58010417	58011668	-	142	50	24	67	64
ENSMUSG00000069011.6	Gm10254	processed_pseudogene	chr3	54717805	54718671	-	58	12	4	19	14
ENSMUSG00000069014.5	Gm5641	transcribed_processed_pseudogene	chr3	54388859	54390346	+	13	0	0	23	23
ENSMUSG00000069020.10	Urm1	protein_coding	chr2	29710087	29735014	+	188	153	150	323	535
ENSMUSG00000069041.9	Slc25a31	protein_coding	chr3	40663285	40680527	+	19	14	7	5	9
ENSMUSG00000069044.7	Usp9y	protein_coding	chrY	1298961	1459782	-	53	0	3	3	4
ENSMUSG00000069045.12	Ddx3y	protein_coding	chrY	1260771	1286629	-	1823	384	139	1092	1219
ENSMUSG00000069049.12	Eif2s3y	protein_coding	chrY	1010543	1028847	+	599	463	249	638	629
ENSMUSG00000069053.12	Uba1y	protein_coding	chrY	818649	844224	+	34	31	17	56	68
ENSMUSG00000069072.10	Slc7a14	protein_coding	chr3	31257007	31364527	-	31	2	5	14	6
ENSMUSG00000069083.5	Gm10259	processed_pseudogene	chr3	25265180	25266769	-	40	14	7	22	31
ENSMUSG00000069089.9	Cdk7	protein_coding	chr13	100839139	100867447	-	482	618	341	788	779
ENSMUSG00000069094.13	Pde7a	protein_coding	chr3	19277272	19365486	-	246	63	51	404	352
ENSMUSG00000069114.9	Zbtb10	protein_coding	chr3	9315662	9350393	+	313	148	120	390	598
ENSMUSG00000069125.3	Rps24-ps2	processed_pseudogene	chr3	3856958	3857352	+	88	2	4	14	18
ENSMUSG00000069135.12	Cep43	protein_coding	chr17	8384333	8415636	+	777	237	83	908	705
ENSMUSG00000069170.15	Adgrv1	protein_coding	chr13	81243187	81781273	-	1231	606	791	267	288
ENSMUSG00000069184.5	Zfp72	protein_coding	chr13	74517445	74538955	-	102	29	15	90	67
ENSMUSG00000069188.6	Gm13192	processed_pseudogene	chr2	4964356	4964563	-	1	11	6	11	11
ENSMUSG00000069206.15	Zfp874a	protein_coding	chr13	67572668	67599743	-	60	18	17	33	78
ENSMUSG00000069208.10	Zfp825	protein_coding	chr13	74628173	74642111	-	147	65	29	69	79
ENSMUSG00000069236.6	Gm7251	processed_pseudogene	chr13	49958420	49959428	-	5	4	0	9	8
ENSMUSG00000069237.9	Fam8a1	protein_coding	chr13	46822998	46831532	+	1250	205	318	540	706
ENSMUSG00000069255.14	Dusp22	protein_coding	chr13	30843982	30895214	+	54	26	31	67	85
ENSMUSG00000069265.3	H3c1	protein_coding	chr13	23945836	23946369	-	336	6780	4780	1	3
ENSMUSG00000069266.6	H4c2	protein_coding	chr13	23940996	23941392	+	844	632	374	4	0
ENSMUSG00000069267.3	H3c2	protein_coding	chr13	23936250	23936869	+	237	3917	2273	3	1
ENSMUSG00000069268.5	H2bc7	protein_coding	chr13	23757910	23758370	-	183	2171	1492	3	2
ENSMUSG00000069270.7	H2ac6	protein_coding	chr13	23865450	23867931	-	259	2815	1833	10	6
ENSMUSG00000069272.7	H2ac8	protein_coding	chr13	23754691	23755394	-	161	2837	1743	13	24
ENSMUSG00000069273.3	H3c6	protein_coding	chr13	23745708	23746543	-	26	3858	3339	17	7
ENSMUSG00000069274.4	H4c6	protein_coding	chr13	23735432	23735822	-	435	4592	3710	4	5
ENSMUSG00000069289.3	Vmn1r203	protein_coding	chr13	22702284	22716162	+	45	0	0	43	18
ENSMUSG00000069294.3	Vmn1r197	protein_coding	chr13	22508759	22517036	+	14	0	0	12	23
ENSMUSG00000069300.4	H2bc11	protein_coding	chr13	22227384	22227846	+	415	6501	4976	6	2
ENSMUSG00000069301.6	H2ac11	protein_coding	chr13	22226630	22227114	-	68	1236	642	4	9
ENSMUSG00000069302.6	H2ac12	protein_coding	chr13	22219334	22219738	-	437	864	566	2	4
ENSMUSG00000069303.8	H2bc24	protein_coding	chr13	22017913	22021700	+	2	61	36	0	0
ENSMUSG00000069305.4	H4c18	protein_coding	chr13	22015937	22016366	-	61	4349	5049	2	0
ENSMUSG00000069306.6	H4c17	protein_coding	chr13	21995916	21996317	+	4	44	28	0	2
ENSMUSG00000069307.8	H2bc23	protein_coding	chr13	21990782	21994367	-	145	12240	10256	7	30
ENSMUSG00000069308.8	H2bc22	protein_coding	chr13	21971631	21973383	+	72	195	152	4	2
ENSMUSG00000069309.3	H2ac22	protein_coding	chr13	21970996	21971388	-	131	747	447	1	0
ENSMUSG00000069310.5	H3c3	protein_coding	chr13	23928956	23929585	-	303	8924	6746	28	23
ENSMUSG00000069376.3	Gm5507	processed_pseudogene	chr18	54117393	54118400	+	0	13	1	9	15
ENSMUSG00000069379.4	Gm4950	processed_pseudogene	chr18	51998339	51998953	-	16	5	5	14	5
ENSMUSG00000069439.4	Gm8444	processed_pseudogene	chr15	81727547	81727914	-	29	5	6	0	5
ENSMUSG00000069456.5	Rdh16	protein_coding	chr10	127637021	127682434	+	11	2	2	9	7
ENSMUSG00000069495.13	Epc2	protein_coding	chr2	49341498	49441960	+	1109	87	41	532	688
ENSMUSG00000069520.7	Tmem19	protein_coding	chr10	115175579	115198406	-	642	369	457	234	335
ENSMUSG00000069539.12	Scyl2	protein_coding	chr10	89474583	89522147	-	436	266	119	537	642
ENSMUSG00000069565.13	Dazap1	protein_coding	chr10	80097320	80124242	+	615	1462	625	2156	2760
ENSMUSG00000069601.15	Ank3	protein_coding	chr10	69234603	69863268	+	941	156	143	474	894
ENSMUSG00000069620.7	Gm5250	processed_pseudogene	chr1	13132249	13132569	+	17	3	5	7	7
ENSMUSG00000069631.15	Strada	protein_coding	chr11	106054156	106092994	-	185	271	137	406	587
ENSMUSG00000069633.13	Pex11g	protein_coding	chr8	3507105	3517680	-	12	10	10	15	11
ENSMUSG00000069662.6	Marcks	protein_coding	chr10	37009371	37014916	-	3243	492	228	555	633
ENSMUSG00000069678.11	Pcgf1	protein_coding	chr6	83054850	83057836	+	3	32	22	32	38
ENSMUSG00000069682.7	Gm10275	transcribed_processed_pseudogene	chr10	29574742	29575376	-	51	7	11	60	54
ENSMUSG00000069712.6	4930444G20Rik	protein_coding	chr10	21942206	21943978	-	0	0	0	6	21
ENSMUSG00000069727.6	Zfp975	protein_coding	chr7	42309529	42342166	-	289	39	23	190	219
ENSMUSG00000069729.15	Arid1b	protein_coding	chr17	5044607	5397931	+	389	349	322	359	723
ENSMUSG00000069743.6	Zfp820	protein_coding	chr17	22035866	22064753	-	189	13	24	71	111
ENSMUSG00000069744.8	Psmb3	protein_coding	chr11	97594225	97604326	+	212	1621	1095	1072	1545
ENSMUSG00000069755.6	Zfp125	transcribed_unprocessed_pseudogene	chr12	20927085	20971263	-	64	11	4	114	93
ENSMUSG00000069763.4	Tmem100	protein_coding	chr11	89921174	89927334	+	0	4	1	7	2
ENSMUSG00000069769.14	Msi2	protein_coding	chr11	88230208	88609339	-	5533	389	436	1427	2235
ENSMUSG00000069793.13	Slfn9	protein_coding	chr11	82869216	82882656	-	1170	29	3	478	147
ENSMUSG00000069804.3	Gm10277	protein_coding	chr11	77676279	77678573	-	5	1	3	11	22
ENSMUSG00000069805.11	Fbp1	protein_coding	chr13	63012567	63036096	-	0	4	5	2	10
ENSMUSG00000069806.6	Cacng7	protein_coding	chr7	3381471	3416737	+	34	133	98	154	202
ENSMUSG00000069808.14	Tlcd3a	protein_coding	chr11	76070497	76105653	+	91	104	121	59	116
ENSMUSG00000069814.7	Ccdc92b	protein_coding	chr11	74510431	74532342	+	75	30	39	68	185
ENSMUSG00000069833.14	Ahnak	protein_coding	chr19	8966648	9054278	+	4273	2670	3461	1133	1735
ENSMUSG00000069835.11	Sat2	protein_coding	chr11	69512850	69514696	+	14	27	3	43	39
ENSMUSG00000069844.13	Sco1	protein_coding	chr11	66943496	66957896	+	548	285	192	396	444
ENSMUSG00000069855.10	Slc47a2	protein_coding	chr11	61192457	61233686	-	74	17	13	33	43
ENSMUSG00000069862.7	Rps12-ps9	processed_pseudogene	chr8	123933362	123933760	+	0	0	0	7	6
ENSMUSG00000069874.8	Irgm2	protein_coding	chr11	58090444	58113608	+	8	7	4	18	15
ENSMUSG00000069890.4	1700024J04Rik	pseudogene	chr11	49477468	49479289	-	0	0	1	4	5
ENSMUSG00000069892.10	9930111J21Rik2	protein_coding	chr11	48906701	48942069	-	133	0	1	20	35
ENSMUSG00000069895.5	Atxn1l	protein_coding	chr8	110453083	110464371	-	1048	63	49	536	799
ENSMUSG00000069899.4	Gm12166	protein_coding	chr11	45942181	45943148	-	17	7	7	7	7
ENSMUSG00000069910.3	Spdl1	protein_coding	chr11	34700017	34724468	-	568	730	336	925	1096
ENSMUSG00000069911.12	Insyn2b	protein_coding	chr11	34264758	34372640	+	34	11	6	31	49
ENSMUSG00000069913.4	Anp32-ps	processed_pseudogene	chr11	33344879	33345266	-	21	10	6	17	20
ENSMUSG00000069920.11	B3gnt9	protein_coding	chr8	105979270	105981785	-	7	3	4	6	21
ENSMUSG00000069962.4	Gm5356	processed_pseudogene	chr8	89913574	89914188	-	5	10	2	3	4
ENSMUSG00000070000.14	Fcho1	protein_coding	chr8	72161031	72178360	-	88	97	70	289	429
ENSMUSG00000070002.8	Ell	protein_coding	chr8	70992107	71045508	+	144	85	45	284	565
ENSMUSG00000070003.8	Ssbp4	protein_coding	chr8	71050140	71061522	-	203	282	255	639	1155
ENSMUSG00000070025.9	Gm10284	processed_pseudogene	chr8	58003333	58004337	+	0	0	1	7	8
ENSMUSG00000070034.14	Sp110	protein_coding	chr1	85504620	85526538	-	0	1	0	3	9
ENSMUSG00000070044.16	Fam149a	protein_coding	chr8	45789754	45835328	-	4	1	1	3	14
ENSMUSG00000070047.15	Fat1	protein_coding	chr8	45388484	45505294	+	17570	12327	21542	2667	5234
ENSMUSG00000070056.7	Mfhas1	protein_coding	chr8	36054952	36146603	+	47	2	2	14	35
ENSMUSG00000070101.3	Mir341	miRNA	chr12	109577934	109578029	+	7	1	1	3	7
ENSMUSG00000070106.3	Mir363	miRNA	chrX	51830570	51830644	-	12	1	0	14	15
ENSMUSG00000070111.5	Gm10286	TEC	chr8	95691307	95696384	-	4	3	0	20	13
ENSMUSG00000070167.3	Snora57	snoRNA	chr19	8865902	8866049	-	2	1	0	23	62
ENSMUSG00000070225.3	n-R5s33	rRNA	chr16	32822273	32822391	+	60	34	15	17	14
ENSMUSG00000070271.8	Gm13268	processed_pseudogene	chr2	14631700	14632132	-	18	615	400	459	649
ENSMUSG00000070282.7	3000002C10Rik	transcribed_processed_pseudogene	chr9	109657011	109661774	-	58	1	3	24	32
ENSMUSG00000070283.5	Ndufaf3	protein_coding	chr9	108442736	108444633	-	168	222	214	129	203
ENSMUSG00000070284.11	Gmppb	protein_coding	chr9	107926441	107930000	+	87	291	118	249	335
ENSMUSG00000070291.5	Ddx43	protein_coding	chr9	78303059	78330869	+	60	25	11	100	140
ENSMUSG00000070304.13	Scn2b	protein_coding	chr9	45029080	45041368	+	163	8	14	64	69
ENSMUSG00000070305.11	Mpzl3	protein_coding	chr9	44966484	44988734	+	149	54	43	93	85
ENSMUSG00000070306.4	Ccdc153	protein_coding	chr9	44151973	44158603	+	3	2	0	8	3
ENSMUSG00000070315.13	4930581F22Rik	lncRNA	chr9	35028024	35042218	+	5	2	1	4	17
ENSMUSG00000070319.7	Eif3g	protein_coding	chr9	20805645	20809919	-	722	3206	2153	2236	2854
ENSMUSG00000070327.15	Rnf213	protein_coding	chr11	119283926	119378244	+	1324	506	410	2544	5270
ENSMUSG00000070330.3	Tmem235	protein_coding	chr11	117751578	117756369	+	5	1	5	4	3
ENSMUSG00000070331.15	Qrich2	protein_coding	chr11	116332151	116357067	-	10	3	9	5	10
ENSMUSG00000070336.4	Fbxo47	protein_coding	chr11	97744652	97774980	-	38	11	9	11	21
ENSMUSG00000070337.5	Gpr179	protein_coding	chr11	97222935	97242903	-	36	16	6	14	43
ENSMUSG00000070342.4	Gm10287	lncRNA	chr3	148927323	148931381	-	15	1	1	6	12
ENSMUSG00000070343.4	Gm10288	processed_pseudogene	chr3	146544566	146545102	-	171	17	8	13	29
ENSMUSG00000070345.4	Hsf5	protein_coding	chr11	87507990	87550368	+	10	2	3	18	7
ENSMUSG00000070348.6	Ccnd1	protein_coding	chr7	144483668	144493662	-	1060	1155	598	1275	1995
ENSMUSG00000070354.14	Evi2	protein_coding	chr11	79404211	79421415	-	0	0	0	0	11
ENSMUSG00000070371.12	Prss36	protein_coding	chr7	127531810	127545897	-	30	77	51	123	108
ENSMUSG00000070372.12	Capza1	protein_coding	chr3	104730095	104771821	-	622	23	18	1092	1281
ENSMUSG00000070385.13	Ampd1	protein_coding	chr3	102981330	103007036	+	20	1	2	3	4
ENSMUSG00000070388.4	Fbxo39	protein_coding	chr11	72205270	72210242	+	0	1	1	5	6
ENSMUSG00000070392.6	Gm20634	lncRNA	chr3	96152870	96155825	+	3	13	7	0	0
ENSMUSG00000070394.11	Tmem256	protein_coding	chr11	69729340	69730444	+	379	645	866	238	441
ENSMUSG00000070407.6	Hs3st3b1	protein_coding	chr11	63776618	63813116	-	491	39	39	92	132
ENSMUSG00000070417.7	Olfr2	protein_coding	chr7	106594606	106605279	-	18	1	0	8	8
ENSMUSG00000070420.5	Zscan25	protein_coding	chr5	145217310	145228088	+	79	89	54	122	195
ENSMUSG00000070424.13	Art5	protein_coding	chr7	101746086	101758696	-	33	7	18	29	27
ENSMUSG00000070426.13	Rnf121	protein_coding	chr7	101668344	101714676	-	630	292	433	316	369
ENSMUSG00000070427.5	Il18bp	protein_coding	chr7	101664092	101667897	-	37	3	1	52	53
ENSMUSG00000070436.13	Serpinh1	protein_coding	chr7	98994583	99002446	-	298	259	390	110	132
ENSMUSG00000070448.14	Vmn2r89	polymorphic_pseudogene	chr14	51689314	51701629	+	7	3	1	12	10
ENSMUSG00000070458.6	Vmn2r73	protein_coding	chr7	85499881	85525474	-	19	2	0	14	10
ENSMUSG00000070461.4	9230112E08Rik	lncRNA	chr2	180625717	180629068	+	39	0	0	27	32
ENSMUSG00000070462.5	Tlnrd1	protein_coding	chr7	83529081	83533513	-	138	130	206	269	998
ENSMUSG00000070473.5	Cldn3	protein_coding	chr5	135015068	135016326	+	2	49	97	20	48
ENSMUSG00000070476.11	Fam217b	protein_coding	chr2	178056317	178066221	+	23	15	10	61	41
ENSMUSG00000070490.5	Gm10293	processed_pseudogene	chr3	52520256	52521257	+	10	0	0	9	15
ENSMUSG00000070493.4	Chchd2	protein_coding	chr5	129909997	129916311	-	4564	2866	2196	2757	3105
ENSMUSG00000070495.12	Ctcfl	protein_coding	chr2	172935402	172961318	-	4	2	0	9	4
ENSMUSG00000070498.4	Tmem132b	protein_coding	chr5	125608838	125869647	+	15	1	5	6	3
ENSMUSG00000070509.16	Rgma	protein_coding	chr7	73025257	73069647	+	65	4	19	16	51
ENSMUSG00000070520.5	Nsmce3	protein_coding	chr7	64516800	64522745	-	689	606	730	329	762
ENSMUSG00000070526.3	Peg12	protein_coding	chr7	62111619	62114258	-	2	3	11	11	25
ENSMUSG00000070527.4	Mkrn3	protein_coding	chr7	62067341	62069887	-	97	27	27	105	133
ENSMUSG00000070529.8	Wfdc10	protein_coding	chr2	164497966	164499288	+	9	5	4	0	1
ENSMUSG00000070544.7	Top1	protein_coding	chr2	160487808	160564684	+	2862	362	130	1900	1749
ENSMUSG00000070565.12	Rasal2	protein_coding	chr1	156962752	157240165	-	700	108	86	562	852
ENSMUSG00000070570.6	Slc17a7	protein_coding	chr7	44813373	44825566	+	23	5	8	3	19
ENSMUSG00000070572.8	Trmt112-ps2	processed_pseudogene	chr4	149541786	149542163	+	5	4	3	4	1
ENSMUSG00000070576.5	Mn1	protein_coding	chr5	111565228	111604899	+	28	38	24	37	61
ENSMUSG00000070577.6	Gm572	protein_coding	chr4	148727774	148756029	+	5	1	0	7	9
ENSMUSG00000070583.2	Fv1	protein_coding	chr4	147953436	147954815	+	36	16	5	43	38
ENSMUSG00000070601.6	Vmn2r84	protein_coding	chr10	130213794	130230201	-	25	0	0	6	6
ENSMUSG00000070604.6	Vsig10l	protein_coding	chr7	43112575	43121443	+	23	25	36	53	113
ENSMUSG00000070605.5	Zfp992	protein_coding	chr4	146533480	146554749	+	1258	25	13	829	835
ENSMUSG00000070610.5	Gm13127	processed_pseudogene	chr4	144313814	144315202	+	47	15	8	48	61
ENSMUSG00000070639.6	Lrrc8b	protein_coding	chr5	105563641	105637940	+	210	9	22	76	108
ENSMUSG00000070643.12	Sox13	protein_coding	chr1	133310041	133352115	-	173	373	235	645	935
ENSMUSG00000070644.14	Etnk2	protein_coding	chr1	133291310	133308074	+	55	91	90	217	472
ENSMUSG00000070645.6	Ren1	protein_coding	chr1	133278248	133288063	+	0	5	11	8	29
ENSMUSG00000070667.8	Rpl31-ps10	processed_pseudogene	chr4	137122610	137122987	+	10	1	5	17	2
ENSMUSG00000070691.11	Runx3	protein_coding	chr4	134847963	134905301	+	18	3	6	8	30
ENSMUSG00000070692.7	Rps12-ps10	processed_pseudogene	chr2	122050474	122050872	+	5	0	1	8	10
ENSMUSG00000070697.5	Utp3	protein_coding	chr5	88702321	88703949	+	731	502	193	932	948
ENSMUSG00000070699.6	Sars2	protein_coding	chr7	28441417	28453296	+	49	298	200	297	558
ENSMUSG00000070705.4	Eid2b	protein_coding	chr7	27977164	27978914	+	27	19	35	58	37
ENSMUSG00000070708.6	Gtsf1l	protein_coding	chr2	162928954	162929775	-	66	243	163	453	575
ENSMUSG00000070709.13	Zfp974	protein_coding	chr7	27606817	27628885	-	98	6	3	42	64
ENSMUSG00000070713.6	Gm10282	protein_coding	chr8	73057954	73059104	-	91	2	4	14	18
ENSMUSG00000070729.6	Gm12966	processed_pseudogene	chr4	129792886	129793695	+	181	31	12	33	40
ENSMUSG00000070730.12	Rmdn3	protein_coding	chr2	118967482	118987515	-	764	352	421	454	563
ENSMUSG00000070732.3	Rbm44	protein_coding	chr1	91072811	91098517	+	60	37	8	110	61
ENSMUSG00000070733.14	Fryl	protein_coding	chr5	73177330	73413962	-	870	207	159	1138	2311
ENSMUSG00000070737.11	Tmem35b	protein_coding	chr4	127017484	127023437	+	14	26	47	36	49
ENSMUSG00000070738.11	Dgkd	protein_coding	chr1	87781009	87872902	+	1326	252	143	1811	1968
ENSMUSG00000070777.6	Ceacam20	protein_coding	chr7	19699337	19725029	+	40	11	2	44	60
ENSMUSG00000070780.12	Rbm47	protein_coding	chr5	66173892	66330461	-	496	676	344	624	836
ENSMUSG00000070802.6	Pnmal2	protein_coding	chr7	16678607	16682753	+	19	6	4	13	28
ENSMUSG00000070803.7	Cited4	protein_coding	chr4	120523769	120525017	+	0	11	8	4	6
ENSMUSG00000070808.5	Bicra	protein_coding	chr7	15704597	15781846	-	91	151	165	94	226
ENSMUSG00000070814.18	Zswim9	protein_coding	chr7	12992894	13012647	-	75	21	12	77	88
ENSMUSG00000070815.4	Vmn1r87	protein_coding	chr7	12864831	12874084	-	23	0	0	13	4
ENSMUSG00000070822.6	Zscan18	protein_coding	chr7	12502017	12537562	-	69	134	100	184	306
ENSMUSG00000070834.6	Gm13015	processed_pseudogene	chr4	117006120	117006323	+	0	4	3	1	14
ENSMUSG00000070837.6	Aurkc	protein_coding	chr7	6998299	7006090	+	3	25	12	21	35
ENSMUSG00000070855.9	Olfr1116	protein_coding	chr2	87097878	87108606	+	97	0	0	22	33
ENSMUSG00000070858.13	Gm1673	protein_coding	chr5	34140777	34142357	+	8	14	8	5	19
ENSMUSG00000070870.7	Cryge	protein_coding	chr1	65087713	65090308	-	0	8	6	2	3
ENSMUSG00000070871.11	Ccnyl1	protein_coding	chr1	64729614	64764803	+	101	56	34	361	508
ENSMUSG00000070880.11	Gad1	protein_coding	chr2	70383416	70432358	+	18	10	0	27	24
ENSMUSG00000070883.4	Ccdc173	protein_coding	chr2	69588377	69619919	-	87	12	6	22	9
ENSMUSG00000070923.5	Klhl9	protein_coding	chr4	88636529	88640702	-	416	201	96	364	418
ENSMUSG00000070934.7	Rraga	protein_coding	chr4	86493905	86495522	+	174	435	223	560	742
ENSMUSG00000070939.10	Tgfbrap1	protein_coding	chr1	43086360	43137797	-	209	56	55	184	345
ENSMUSG00000070942.9	Il1rl2	protein_coding	chr1	40363770	40406722	+	103	18	31	44	54
ENSMUSG00000070953.14	Rabepk	protein_coding	chr2	34667568	34689924	-	164	139	85	177	287
ENSMUSG00000070960.5	Gm19680	processed_pseudogene	chr1	31654230	31655742	+	0	1	1	2	12
ENSMUSG00000070972.14	Dnajc25	protein_coding	chr4	58995062	59025573	+	650	43	47	77	85
ENSMUSG00000070985.4	Acnat1	protein_coding	chr4	49447105	49473912	-	0	0	0	10	5
ENSMUSG00000070997.5	1700055D18Rik	lncRNA	chr4	45011687	45015406	+	12	2	1	8	12
ENSMUSG00000070999.3	Ccin	protein_coding	chr4	43983483	43985423	+	14	0	0	6	15
ENSMUSG00000071014.11	Ndufb6	protein_coding	chr4	40270591	40279421	-	257	1471	1647	490	803
ENSMUSG00000071035.6	Gm5499	processed_pseudogene	chr17	87385699	87386583	+	73	9	20	5	12
ENSMUSG00000071037.7	Camkmt	protein_coding	chr17	85397980	85766016	+	72	83	53	75	94
ENSMUSG00000071041.5	Impdh2-ps	processed_pseudogene	chr8	100757190	100758734	+	524	51	17	149	164
ENSMUSG00000071042.13	Rasgrp3	protein_coding	chr17	75742891	75836049	+	18	2	0	16	7
ENSMUSG00000071054.13	Safb	protein_coding	chr17	56891825	56913294	+	1107	2737	1160	2550	3132
ENSMUSG00000071064.16	Zfp827	protein_coding	chr8	79755066	79920395	+	149	24	24	165	261
ENSMUSG00000071068.8	Treml2	protein_coding	chr17	48606526	48619561	+	62	24	12	76	84
ENSMUSG00000071072.13	Ptges3	protein_coding	chr10	127894823	127913141	+	3663	1043	596	2018	1965
ENSMUSG00000071073.6	Lrrc73	protein_coding	chr17	46564457	46568241	+	0	2	3	2	16
ENSMUSG00000071074.10	Yipf3	protein_coding	chr17	46559006	46563463	+	468	788	1007	318	480
ENSMUSG00000071076.9	Jund	protein_coding	chr8	71151599	71153265	+	26	43	54	136	272
ENSMUSG00000071078.7	Nr2c2ap	protein_coding	chr8	70583983	70586399	+	16	0	0	56	58
ENSMUSG00000071102.2	Gm10313	processed_pseudogene	chr8	46707714	46708715	-	0	3	1	7	10
ENSMUSG00000071112.13	Spx	protein_coding	chr6	142359167	142365456	+	0	0	0	6	6
ENSMUSG00000071113.5	Mboat4	protein_coding	chr8	34582184	34592336	+	0	2	4	2	13
ENSMUSG00000071141.8	Rpl36a-ps3	processed_pseudogene	chr6	136465805	136466125	+	313	21	14	9	23
ENSMUSG00000071151.4	Gm4799	processed_pseudogene	chr10	82790178	82790834	+	1	7	11	7	16
ENSMUSG00000071172.14	Srsf3	protein_coding	chr17	29251602	29262347	+	2932	897	525	2738	3389
ENSMUSG00000071176.11	Arhgef10	protein_coding	chr8	14961663	15051085	+	261	135	72	228	294
ENSMUSG00000071180.6	Smim15	protein_coding	chr13	108180980	108185706	+	339	243	201	584	492
ENSMUSG00000071181.3	3830408C21Rik	lncRNA	chr13	107159061	107192005	+	18	2	1	16	15
ENSMUSG00000071192.7	Wfikkn1	protein_coding	chr17	26096602	26099832	-	3	0	0	6	16
ENSMUSG00000071203.7	Naip5	protein_coding	chr13	100348247	100382831	-	0	5	3	7	25
ENSMUSG00000071226.12	Cecr2	protein_coding	chr6	120643330	120748151	+	1851	423	234	1482	1683
ENSMUSG00000071229.4	Timm8a2	protein_coding	chr14	122272086	122275832	+	0	17	14	25	22
ENSMUSG00000071230.8	Npw	protein_coding	chr17	24876304	24877431	-	5	25	30	8	17
ENSMUSG00000071235.13	Vrtn	protein_coding	chr12	84687793	84698229	+	1	3	0	7	2
ENSMUSG00000071252.7	2210408I21Rik	protein_coding	chr13	77283659	77761903	+	52	29	33	33	43
ENSMUSG00000071253.9	Slc25a16	protein_coding	chr10	62756412	62782277	+	338	46	55	186	289
ENSMUSG00000071256.5	Zfp213	protein_coding	chr17	23775741	23783212	-	32	23	9	65	73
ENSMUSG00000071266.14	Zfp946	protein_coding	chr17	22643203	22675670	+	113	28	30	51	80
ENSMUSG00000071267.12	Zfp942	protein_coding	chr17	22145941	22181445	-	366	16	15	96	80
ENSMUSG00000071281.13	Zfp65	protein_coding	chr13	67853428	67877292	-	453	33	24	144	130
ENSMUSG00000071291.11	Zfp58	protein_coding	chr13	67638286	67648674	-	34	16	10	30	34
ENSMUSG00000071302.11	2610044O15Rik8	protein_coding	chr8	129942835	129960887	-	485	50	25	389	281
ENSMUSG00000071317.5	Bves	protein_coding	chr10	45211868	45248575	+	13	7	15	7	15
ENSMUSG00000071324.12	Armc2	protein_coding	chr10	41790986	41894438	-	13	9	15	12	31
ENSMUSG00000071337.12	Tia1	protein_coding	chr6	86381201	86410387	+	266	103	49	459	414
ENSMUSG00000071341.5	Egr4	protein_coding	chr6	85488103	85490571	-	0	0	1	4	7
ENSMUSG00000071343.3	Gm10327	processed_pseudogene	chr10	33684493	33685494	-	14	7	0	10	22
ENSMUSG00000071350.13	Setdb2	protein_coding	chr14	59639458	59678333	-	319	57	42	239	213
ENSMUSG00000071359.14	Tbpl1	protein_coding	chr10	22579778	22607837	-	518	80	72	290	302
